,Company_Names,World_Ranks(Jan-2020),Market_Cap(In_Billion_USD),Headquarter_of_Company,Annual_Revenue_till,Annual_revenue,Annual_Net_Income_till,Annual_Net_income,Sector,Total_Employees,Employee_Count_as_on_Date,CEO,Annual_Revenue,Annual_Net_Income,Annual_Revenue(mbtc),Annual_Net_Income(mbtc)
435,FORD MOTOR COMPANY,413,37.35,USA,2019,900 Million USD,2019,47 Million USD,"Consumer Cyclical, Automobile, Cars, Commercial Vehicles, Trucks, Vans, Capital Goods, Passenger Vehicles",183000,2021,Jim Farley,900.0,47.0,Million USD,Million USD
436,CK HUTCHISON HOLDINGS,414,37.35,Hong Kong,2019,396 Million HKD,2019,143 Million HKD,"Industries, Conglomerate, Telecom, Energy, Infrastructure, Retail",172907,2022,Mr. Li,396.0,143.0,Million HKD,Million HKD
437,CANADIAN IMPERIAL BANK OF COMMERCE,415,37.31,Canada,2019,18.52 Billion CAD,2019,5.09 Billion CAD,"Financial Services, Banking Services",45282,2021,Victor G. Dodig,18.52,5.09,Billion CAD,Billion CAD
438,BOC HONG KONG,416,37.18,Hong Kong,2019,019 Million HKD,2019,487 Million HKD,"Financial Services, Banking Services",14915,2020,Gao Yingxin,19.0,487.0,Million HKD,Million HKD
439,TELEFONICA SA,417,37.1,Spain,2019,48422 Million EUR,2019,860 Million EUR,"Communication Services, Telecom, Mobile Services, Internet Providers, Utilities, Telecom Equipment",114042,2021,Jose Maria Alvarez-Pallete Lopez,48422.0,860.0,Million EUR,Million EUR
440,MTR CORPORATION,418,36.74,Hong Kong,2019,541 Million HKD,2019,-4809 Million HKD,"Industries, Railway, Rail Transport, Railway Operating Company, Transportation",34209,2021,Jacob Kam,541.0,4809.0,Million HKD,Million HKD
441,COUNTRY GARDEN HOLDINGS COMPANY,419,36.58,China,2019,485908 Million CNY,2019,39550 Million CNY,"Real Estate, Construction, Property Investments, Hotels, Construction, Investments",101784,2021,Bin Mo,485908.0,39550.0,Million CNY,Million CNY
442,CHINA RESOURCES LAND,420,36.53,China,2019,147735 Million CNY,2019,28672 Million CNY,"Real Estate, Construction, Property Investments, Construction, Investments",38087,2021,Tang Yong,147735.0,28672.0,Million CNY,Million CNY
443,FANUC CORPORATION,421,36.49,Japan,2020,508.2 Billion JPY,2020,73.3 Billion JPY,"Industries, Automation, Robotics, Technology, Machinery Manufacturing, Manufacturing, Industry Machinery",8256,2021,Yoshiharu Inaba,508.2,73.3,Billion JPY,Billion JPY
444,CONSTELLATION BRANDS,422,36.48,USA,2020,343 Million USD,2020,-11.8 Million USD,"Consumer Defensive, Alcoholic Beverages, Beverages, Beer, Wine, FMCG, Consumer Non Durables",9300,2021,Bill Newlands,343.0,11.8,Million USD,Million USD
445,ALLSTATE CORPORATION,423,36.45,USA,2019,675 Million USD,2019,847 Million USD,"Financial Services, Insurance, Financial Services",42160,2020,Thomas J. Wilson,675.0,847.0,Million USD,Million USD
446,ALIMENTATION COUCHE-TARD,424,36.37,Canada,2019,59.12 Billion USD,2019,1.83 Billion USD,"Consumer Defensive, Retail, Convenience Stores",131000,2020,Brian P. Hannasch,59.12,1.83,Billion USD,Billion USD
447,JAPAN POST BANK,425,36.21,Japan,2020,1421 Billion JPY,2020,273.4 Billion JPY,"Financial Services, Banking Services",245472,2020,Masatsugu Nagato,1421.0,273.4,Billion JPY,Billion JPY
448,HOYA CORPORATION,426,36.17,Japan,2020,582.4 Billion JPY,2020,114.4 Billion JPY,"Healthcare, Electronics, Medical Equipment, Consumer Goods",37245,2021,Hiroshi Suzuki,582.4,114.4,Billion JPY,Billion JPY
449,OVERSEA-CHINESE BANKING CORPORATION,427,35.97,Singapore,2019,10777 Million USD,2019,4810 Million USD,"Financial Services, Banking Services, Asset Management, Wealth Management",30538,2020,Helen Wong,10777.0,4810.0,Million USD,Million USD
450,SPACEX,427,35.97,USA,2018,2 Billion USD,2019,4810 Million USD,"Satellites, Rockets, Technology",9500,2021,Bob van Dijk,2.0,4810.0,Billion USD,Million USD
451,STRIPE,427,35.97,USA,2019,2 Billion USD,2019,4810 Million USD,"Digital Payment Solution Services, Technology, Software and IT",2500,2020,Bob van Dijk,2.0,4810.0,Billion USD,Million USD
452,THOMSON REUTERS CORPORATION,428,35.89,Canada,2019,5.91 Billion USD,2019,1.56 Billion USD,"Industries, Media, Advertising, Internet or Mobile App Based Business, Financial Services, Consumer Services, Publishing, Consulting Services, Accounting and Auditing",45000,2020,Steve Hasker,5.91,1.56,Billion USD,Billion USD
453,BAJAJ FINANCE,429,35.78,India,2020,263.73 Billion INR,2020,52.63 Billion INR,"Financial Services, Insurance, Asset Management, Wealth Management",26969,2020,Sanjiv Bajaj,263.73,52.63,Billion INR,Billion INR
454,DENSO CORPORATION,430,35.78,Japan,2020,5153.4 Billion JPY,2020,68.1 Billion JPY,"Consumer Cyclical, Electronics, Automobile, Electrical Products, Automobile Parts",168391,2021,Koji Arima,5153.4,68.1,Billion JPY,Billion JPY
455,NXP SEMICONDUCTORS,431,35.77,Netherlands,2019,8877 Million USD,2019,243 Million USD,"Technology, Electronics, Semiconductors, Sensors",31000,2021,"Kurt Sievers, Richard L. Clemmer",8877.0,243.0,Million USD,Million USD
456,LONDON STOCK EXCHANGE GROUP,432,35.74,UK,2019,311 Million GBP,2019,417 Million GBP,"Financial Services, Stock Markets, Trading, Capital Markets, Trading",24158,2021,David Schwimmer,311.0,417.0,Million GBP,Million GBP
457,AIRPORTS OF THAILAND,433,35.71,Thailand,2019,179 Million THB,2019,320 Million THB,"Industries, Airports Operating, Infrastructure",7230,2021,Bob van Dijk,179.0,320.0,Million THB,Million THB
458,THE TRAVELERS COMPANIES,434,35.62,USA,2019,581 Million USD,2019,603 Million USD,"Financial Services, Insurance",30800,2021,Alan D. Schnitzer,581.0,603.0,Million USD,Million USD
459,AB VOLVO,435,35.34,Sweden,2020,446 Million SEK,2020,318 Million SEK,"Industries, Automobile, Bus Manufacturing, Trucks, Commercial Vehicles, Heavy Machinery",95850,2021,Martin Lundstedt,446.0,318.0,Million SEK,Million SEK
460,XIAOMI CORPORATION,436,35.26,China,2019,205.83 Billion CNY,2019,10.04 Billion CNY,"Technology, Electronics, Mobiles & Accessories, TV's, Laptops, Tablets, Consumer Electronics",33427,2021,Lei Jun,205.83,10.04,Billion CNY,Billion CNY
461,AMADEUS IT GROUP,437,35.21,Spain,2019,5570 Million EUR,2019,1113 Million EUR,"Technology, Software and IT, Software Products",19000,2021,Luis Maroto,5570.0,1113.0,Million EUR,Million EUR
462,H & M HENNES & MAURITZ AB,438,35.1,Sweden,2019,232755 Million SEK,2019,13443 Million SEK,"Consumer Cyclical, Retail, Clothing, Readymade Clothing, Apparels and Accessories",153000,2020,Helena Helmersson,232755.0,13443.0,Million SEK,Million SEK
463,CARNIVAL CORPORATION,439,35.1,USA,2020,594 Million USD,2020,236 Million USD,"Consumer Cyclical, Travel and Transport, Marine Transportation, Transportation, Consumer Services, Leisure",30000,2021,Arnold W. Donald,594.0,236.0,Million USD,Million USD
464,CANADIAN PACIFIC RAILWAY,440,35.06,Canada,2019,792 Million CAD,2019,440 Million CAD,"Industries, Railway, Railway Operating Company, Rail Transport, Transportation",11834,2021,Keith Creel,792.0,440.0,Million CAD,Million CAD
465,TOKYO ELECTRON LIMITED,441,35.04,Japan,2020,1127 Billion JPY,2020,185.2 Billion JPY,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments",14479,2021,Toshiki Kawai,1127.0,185.2,Billion JPY,Billion JPY
466,EDF (ELECTRICITE DE FRANCE),442,34.93,France,2019,71317 Million EUR,2019,4566 Million EUR,"Utilities, Energy, Electricity Generation, Power Generation, Nuclear Power, Renewable Energy, Solar Power, Wind Power, Hydro-Electric Power, Electric Utilities",20477,2020,Jean-Bernard Levy,71317.0,4566.0,Million EUR,Million EUR
467,TRAFIGURA,442,34.93,USA,2019,171.5 Billion USD,2019,867 Million USD,"Commodities Trading, Trading",8619,2020,Bob van Dijk,171.5,867.0,Billion USD,Million USD
468,ITOCHU CORPORATION,443,34.87,Japan,2020,10982 Billion JPY,2020,501.3 Billion JPY,"Industries, Trading, Imports / Exports Services, Conglomerate",128146,2021,Masahiro Okafuji,10982.0,501.3,Billion JPY,Billion JPY
469,LINKEDIN,443,34.87,USA,2019,6.7 Billion USD,2019,501.3 Billion JPY,"Social Media, Internet or Mobile App Based Business, Technology",18000,2019,Bob van Dijk,6.7,501.3,Billion USD,Billion JPY
470,ENERGY TRANSFER LP,444,34.75,USA,2019,213 Million USD,2019,588 Million USD,"Energy, Oil and Gas, Oil and Gas Pipeline Transport, Petroleum, Natural Gas Generation",11421,2021,Thomas E. Long,213.0,588.0,Million USD,Million USD
471,SURGUTNEFTEGAS,446,34.56,Russia,2019,555.6 Billion RUB,2019,105.4 Billion RUB,"Energy, Oil and Gas, Natural Gas Generation, Petroleum, Oil Refining",116000,2021,Vladimir Bogdanov,555.6,105.4,Billion RUB,Billion RUB
472,NORDEA BANK ABP,447,34.48,Finland,2019,8438 Million EUR,2019,1519 Million EUR,"Financial Services, Banking Services",28051,2021,"Frank Vang-Jensen, Casper von Koskull",8438.0,1519.0,Million EUR,Million EUR
473,MACQUARIE GROUP,448,34.44,Australia,2020,5.83 Billion AUD,2020,2.73 Billion AUD,"Financial Services, Investments, Asset Management, Stock Markets, Trading, Capital Markets",17209,2021,Shemara Wikramanayake,5.83,2.73,Billion AUD,Billion AUD
474,VIVENDI,449,34.41,France,2020,090 Million EUR,2020,440 Million EUR,"Communication Services, Media, Broadcasting, Television Services, Telecom, Entertainment, Video Games / Mobile Games / Tech Games / Casino Games, Music, Movies & Posters, Advertising, Movies / Entertainment, Entertainment, Music",42800,2022,Arnaud de Puyfontaine,90.0,440.0,Million EUR,Million EUR
475,WESFARMERS,450,34.38,Australia,2020,30.75 Billion AUD,2020,1.69 Billion AUD,"Consumer Cyclical, Conglomerate, Retail, Super Markets, Fertilizers, Chemicals, Mining, Coal Mining, Consumer Non Durables",122000,2022,Rob Scott,30.75,1.69,Billion AUD,Billion AUD
476,MONSTER BEVERAGE CORPORATION,451,34.25,USA,2019,4200 Million USD,2019,1107.8 Million USD,"Consumer Defensive, Non-Alcoholic Beverages, Beverages, FMCG, Consumer Non Durables",3666,2020,Hilton Schlosberg,4200.0,1107.8,Million USD,Million USD
477,COGNIZANT TECHNOLOGY SOLUTIONS,452,34.04,USA,2019,783 Million USD,2019,842 Million USD,"Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services, Consulting Services, Outsourcing and Staffing",330600,2021,Brian Humphries,783.0,842.0,Million USD,Million USD
478,EAST JAPAN RAILWAY COMPANY,453,34.03,Japan,2020,2946.6 Billion JPY,2020,198.4 Billion JPY,"Industries, Railway, Rail Transport, Railway Operating Company, Freight Transport, Transportation",71812,2021,Tetsuro Tomita,2946.6,198.4,Billion JPY,Billion JPY
479,KONE OYJ,454,33.92,Finland,2019,9981 Million EUR,2019,931 Million EUR,"Industries, Escalators, Elevators, Engineering Products, Building Automation, Machinery Manufacturing, Industry Machinery",61380,2020,Henrik Ehrnrooth,9981.0,931.0,Million EUR,Million EUR
480,GALAXY ENTERTAINMENT GROUP,455,33.9,Hong Kong,2019,876 Million HKD,2019,973 Million HKD,"Consumer Cyclical, Hotels, Casinos, Entertainment",22000,2021,Francis Lui,876.0,973.0,Million HKD,Million HKD
481,CREDIT SUISSE GROUP,456,33.89,Switzerland,2019,20724 Million CHF,2019,3419 Million CHF,"Financial Services, Investments, Investment Banking, Asset Management, Banking Services",48770,2021,Thomas Gottstein,20724.0,3419.0,Million CHF,Million CHF
482,UNICREDIT,457,33.73,Italy,2019,19210 Million EUR,2019,3249 Million EUR,"Financial Services, Banking Services, Insurance",90836,2021,Andrea Orcel,19210.0,3249.0,Million EUR,Million EUR
483,CHINA TELECOM CORPORATION,458,33.67,China,2019,375734 Million CNY,2019,20517 Million CNY,"Communication Services, Telecom, Mobile Services, Internet Providers, Television Services, Fixed Line Service, Utilities, Telecom Equipment",281192,2021,Jie Yang,375734.0,20517.0,Million CNY,Million CNY
484,WELLTOWER,459,33.59,USA,2019,100 Million USD,2019,232 Million USD,"Real Estate, Property Investments, Investments, Hospitals, Consumer Services",464,2021,Shankh Mitra,100.0,232.0,Million USD,Million USD
485,XCEL ENERGY,460,33.59,USA,2019,529 Million USD,2019,372 Million USD,"Utilities, Electric Utilities, Gas Utilities, Power Generation, Electricity Generation, Energy",11367,2021,Bob Frenzel,529.0,372.0,Million USD,Million USD
486,HONG KONG AND CHINA GAS COMPANY,461,33.58,Hong Kong,2019,927 Million HKD,2019,007 Million HKD,"Utilities, Water Utilities, Gas Utilities, Oil and Gas",2096,2021,Bob van Dijk,927.0,7.0,Million HKD,Million HKD
487,TYSON FOODS,462,33.56,USA,2019,405 Million USD,2019,022 Million USD,"Consumer Defensive, Food Products, Meat / Poultry / Fish / Chicken, FMCG, Consumer Non Durables, Meat / Poultry / Fish / Chicken, Farming / Seeds / Milling",137000,2021,Donnie D. King,405.0,22.0,Million USD,Million USD
488,BARRICK GOLD CORPORATION,463,33.56,Canada,2019,860 Million CAD,2019,270 Million CAD,"Basic Materials, Gold Mining, Mining",21869,2021,Mark Bristow,860.0,270.0,Million CAD,Million CAD
489,O'REILLY AUTOMOTIVE,465,33.26,USA,2019,149 Million USD,2019,391 Million USD,"Consumer Cyclical, Retail, Automobile Parts, Consumer Services, Automobile",77827,2020,Gregory D. Johnson,149.0,391.0,Million USD,Million USD
490,CONTEMPORARY AMPEREX TECHNOLOGY,466,33.24,China,2019,788 Million CNY,2019,560 Million CNY,"Industries, Batteries, Automobile Parts, Electronics, Technology, Electric Vehicles, Electrical Products",33078,2021,Zeng Yuqun,788.0,560.0,Million CNY,Million CNY
491,UNITED OVERSEAS BANK,467,33.1,Singapore,2019,029 Million SGD,2019,245 Million SGD,"Financial Services, Banking Services",24346,2021,Wee Ee Cheong,29.0,245.0,Million SGD,Million SGD
492,SOUTHERN COPPER CORPORATION,468,33.0,Mexico,2019,285 Million USD,2019,485 Million USD,"Basic Materials, Mining, Metals, Copper Mining, Silver Mining, Molybdenum, Zinc, Gold Mining, Lead, Precious Metals",13777,2020,Oscar Gonzalez Rocha,285.0,485.0,Million USD,Million USD
493,TESCO,469,33.0,UK,2020,760 Million GBP,2020,973 Million GBP,"Consumer Defensive, Retail, Super Markets, Hypermarkets, Convenience Stores, Consumer Services",367321,2021,Ken Murphy,760.0,973.0,Million GBP,Million GBP
494,BHARTI AIRTEL,470,32.68,India,2020,875.39 Billion INR,2020,-300.11 Billion INR,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services",17917,2021,Gopal Vittal,875.39,300.11,Billion INR,Billion INR
495,SEVEN & I HOLDINGS,471,32.65,Japan,2019,644 Billion JPY,2019,218 Billion JPY,"Consumer Defensive, Retail, Super Markets, Convenience Stores",138808,2021,Ryuichi Isaka,644.0,218.0,Billion JPY,Billion JPY
496,ASSICURAZIONI GENERALI,472,32.61,Italy,2019,693 Million EUR,2019,670 Million EUR,"Financial Services, Insurance",72644,2021,Philippe Donnet,693.0,670.0,Million EUR,Million EUR
497,AMPHENOL CORPORATION,473,32.53,USA,2019,225 Million USD,2019,155 Million USD,"Technology, Electronics, Cables and Wires, Electrical Products, Capital Goods, Technology Hardware and Instruments, Industrial Electrical Electronics",90000,2021,Richard Adam Norwitt,225.0,155.0,Million USD,Million USD
498,GENERAL MILLS,474,32.52,USA,2019,627 Million USD,2019,181 Million USD,"Consumer Defensive, Food Products, FMCG, Dairy Products, Consumer Non Durables, Package Foods",35000,2021,Jeff Harmening,627.0,181.0,Million USD,Million USD
499,FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA),475,32.46,Mexico,2019,506.7 Billion MXN,2019,20.69 Billion MXN,"Consumer Defensive, Non-Alcoholic Beverages, Beverages, FMCG, Consumer Non Durables, Alcoholic Beverages",320618,2020,Eduardo Padilla Silva,506.7,20.69,Billion MXN,Billion MXN
